id,value
pages,75
pages\about,0
pages\abstraction,0
pages\algorithm,20
pages\analytic,11
pages\analytic\analytic_functions,1
pages\angularjs,1
pages\ant,16
pages\antlr,6
pages\apache,3
pages\apex,78
pages\application,140
pages\application_server,1
pages\application_server\tomcat,0
pages\architecture,10
pages\backup,4
pages\bdd,1
pages\beanshell,3
pages\bi,1
pages\bics,2
pages\bip,24
pages\bi_application,1
pages\bi_application\obia,0
pages\book,8
pages\browser,1
pages\chart,0
pages\cloveretl,11
pages\coffeescript,1
pages\communication_system,1
pages\communication_system\dokuwiki,0
pages\communication_system\wordpress,2
pages\company,1
pages\company\oracle,0
pages\company\sas,1
pages\dat,2
pages\database,42
pages\database\odbc,0
pages\database\oracle,512
pages\database\oracle\access_path,0
pages\database\oracle\indexes,1
pages\database\oracle\join,0
pages\database\oracle\join\nested_loop,3
pages\database\oracle\plan_operation,0
pages\database\oracle\plan_operation\nested_loop,0
pages\database\oracle\query_optimizer,0
pages\datawarehouse,0
pages\datawarehouse\dataquality,0
pages\data_access_tools,0
pages\data_access_tools\analytic_applications,0
pages\data_access_tools\report_writers,0
pages\data_mining,345
pages\data_model,0
pages\data_modeling,69
pages\data_quality,11
pages\data_storage,80
pages\data_structure,51
pages\data_visualisation,17
pages\dat\analytic,0
pages\dat\analytic\bo,0
pages\dat\analytic\obiee,0
pages\dat\bip,1
pages\dat\bobj,79
pages\dat\bobj\dashboard_and_analytics,2
pages\dat\bobj\installation,2
pages\dat\modeling,0
pages\dat\obiee,422
pages\dat\obiee\bi_scheduler,0
pages\dat\obiee\bi_server,0
pages\dat\obiee\bi_server\design,3
pages\dat\obiee\bi_server\design\dimension,0
pages\dat\obiee\bi_server\design\measure,0
pages\dat\obiee\bi_server\log,0
pages\dat\obiee\bi_server\security,1
pages\dat\obiee\executable_files,3
pages\dat\obiee\installation,2
pages\dat\obiee\localization,0
pages\dat\obiee\logical_sql,2
pages\dat\obiee\look_feel,0
pages\dat\obiee\presentation_service,5
pages\dat\rw,0
pages\dat\rw\bip,0
pages\design,13
pages\design_pattern,20
pages\development,0
pages\development_techniques,0
pages\dit,9
pages\dit\odi,64
pages\dit\owb,1
pages\dit\ssis,0
pages\dokuwiki,16
pages\dom,16
pages\dos,68
pages\dw,21
pages\dw\analytic_function,0
pages\dw\data_quality,1
pages\dw\etl,1
pages\dw\etl\informatica_powercenter,3
pages\dw\etl\informatica_powercenter\dac,0
pages\dw\etl\owb,10
pages\dw\etl\owb\operator,6
pages\dw\etl\owb\operator\properties,1
pages\dw\etl\owb\scripting,3
pages\dw\join,0
pages\dw\techniques,0
pages\dw\techniques\modeling,0
pages\dw\techniques\modeling\star_schema,0
pages\dw\testing,0
pages\ebs,8
pages\electronic,1
pages\endeca,72
pages\epm,17
pages\epm\essbase,150
pages\epm\planning,1
pages\etl,0
pages\etl\owb,0
pages\etl\owb\operator,0
pages\etl\owb\operator\properties,0
pages\etl\owb\scripting,0
pages\etl\owb\techniques,0
pages\exadata,1
pages\exalytics,5
pages\excel,31
pages\file,0
pages\filemanager,3
pages\file_system,6
pages\firefox,4
pages\ftp,9
pages\function,12
pages\geometry,14
pages\git,15
pages\glassfish,2
pages\google,0
pages\hadoop,3
pages\hana,47
pages\hardware,0
pages\hive,2
pages\html,109
pages\http,18
pages\hudson,4
pages\hyperion,0
pages\ide,6
pages\ide\apex,0
pages\ide\eclipse,25
pages\ide\jedit,1
pages\ide\sqldeveloper,8
pages\ide\toad,4
pages\impala,1
pages\inkscape,2
pages\internet,0
pages\io,28
pages\j2ee,0
pages\java,0
pages\javadb,9
pages\jdbc,0
pages\jenkins,17
pages\jmeter,35
pages\jpa,39
pages\kerberos,24
pages\langage,0
pages\langage\plsql,0
pages\langage\plsql\sql_dynamic,0
pages\language,24
pages\language\css,51
pages\language\english,41
pages\language\java,218
pages\language\javascript,9
pages\language\php,0
pages\language\plsql,2
pages\language\plsql\sql_dynamic,1
pages\language\plsql\techniques,2
pages\language\sql,23
pages\language\tcl,13
pages\language\xml,0
pages\ldap,6
pages\less,1
pages\lexalytics,12
pages\linear_algebra,58
pages\linkedin,2
pages\linux,139
pages\managment,0
pages\map,0
pages\mapviewer,13
pages\material,0
pages\mathematics,53
pages\maven,37
pages\model,0
pages\netbeans,2
pages\network,21
pages\notepad,5
pages\nsis,0
pages\oas,0
pages\oba,0
pages\obia,13
pages\obiee,0
pages\odbc,11
pages\odm,12
pages\oracle,6
pages\oracledatabase,0
pages\oracle_spatial,10
pages\oracle_sql_developer_data_modeler,1
pages\origin,0
pages\os,10
pages\ovm,2
pages\owb,66
pages\pdfcreator,1
pages\performance,13
pages\php,17
pages\pig,2
pages\playground,1
pages\plsql,24
pages\plsql\techniques,0
pages\powercenter,96
pages\powerdesigner,4
pages\powershell,3
pages\presentation,1
pages\presentation\090603_mdm_obi_forum,6
pages\private,14
pages\problem,1
pages\proc_sys_kernel,0
pages\project_management,2
pages\protocol,10
pages\protocol\ldap,1
pages\python,76
pages\r,123
pages\resume,5
pages\ruby,3
pages\sa,0
pages\salesforce,1
pages\sap,12
pages\sh,52
pages\soft_skill,40
pages\soft_skills,2
pages\spark,36
pages\spatial,8
pages\spatial\mapviewer,3
pages\sport,35
pages\sqlite,1
pages\sqlplus,87
pages\sql_loader,7
pages\sql_server,17
pages\ssas,18
pages\ssh,2
pages\ssis,15
pages\ssrs,11
pages\statistics,22
pages\svn,0
pages\techniques,0
pages\technology,0
pages\teradata,1
pages\test,3
pages\timesten,78
pages\toad,0
pages\tomcat,2
pages\tommy,0
pages\tool,1
pages\trac,0
pages\trigonometry,10
pages\tsql,9
pages\vagrant,1
pages\vcs,0
pages\version_control,3
pages\virtualbox,2
pages\vlc,1
pages\vmware,6
pages\web,22
pages\weblogic,66
pages\web_server,1
pages\web_server\oc4j,8
pages\web_service,5
pages\wiki,2
pages\wiki\obiee,0
pages\windows,26
pages\winscp,2
pages\wlst,18
pages\xml,32
pages\xslt,28
